Год,Язык
1804,Коды операций для узоров на ткацком станке
1837,Коды операций для аналитической машины
1879,Begriffsschrift
1943—1945,Планкалкюль
1943—1946,Система команд ENIAC
1946,Графическая система фон Неймана и Голдстайна (нотация)
1946,Краткий код ENIAC
1947,Язык ассемблера ARC
1948,Система нотации Карри
1948,Схема кодирования CPC
1949,C-10
1949,Схема кодирования Сибера (концепция)
1949,Укороченный код
1950,Краткий код
1950,Язык ассемблера Биркбека
1951,ALGAE
1951,Stanislaus (нотация)
1951,Безымянная система кодирования Бёма
1951,Генератор сортировки-слияния
1951,Промежуточный язык программирования
1951,Региональный язык ассемблера
1951,Символический язык ассемблера OMNIBAC
1951,Скобочные выражения
1951,Суперплан
1951,Язык ассемблера Whirlwind
1951,Язык ассемблера Рочестера
1952,A-0
1952,COMPOOL
1952,Автокод
1952,Генератор редакторов
1952,Операторное программирование
1953,READ/PRINT
1953,Быстрый кодировщик
1954,ARITH-MATIC
1954,IPL I(концепция)
1954,MATH-MATIC
1954,MATRIX MATH
1954,Автокод Mark I
1954,Машинный язык компьютера «Киев» — язык высокого уровня (концепция)
1954,Система Лейнинга и Цирлера
1954—1955,"Фортран""0""(концепция)"
1955,BACAIC
1955,FLOW-MATIC
1955,PACT I
1955,PRINT
1955,Адресный язык программирования— впервые введена непрямая адресация высших рангов (Pointers) и сложные структуры данных: деревообразные форматы.
1955—1956,Internal Translator (IT)
1955—1956,Sequentielle Formelübersetzung
1956—1958,Лисп(концепция)
1957,COMIT(концепция)
1957,COMTRAN
1957,Фортран «I»(реализация)
1957—1958,UNICODE
1958,IPL II(реализация)
1958,IPL V
1958,Алгол 58
1958,Фортран II
1959,FACT
1959,JOVIAL
1959,TRAC(концепция)
1959,КОБОЛ(концепция)
1959,Лисп (реализация)
1960,Алгол 60
1960,КОБОЛ 61(реализация)
1961,COMIT(реализация)
1962,MAD
1962,АПЛ(концепция)
1962,Симула(концепция)
1962,Снобол
1962,Фортран IV
1963,CPL
1963,JOSS I
1963,Алгол 68(концепция)
1963,Снобол3
1964,COWSEL
1964,IBM RPG
1964,MIMIC
1964,Mark-IV
1964,P′′
1964,TRAC(реализация)
1964,Бейсик
1964,ПЛ/1(концепция)
1964?,IITRAN
1965,TELCOMP
1966,CORAL66
1966,ISWIMконцепция
1966,JOSS II
1966,Алгол W
1966,Фортран 66
1967,BCPL
1967,MUMPS
1967,XPL
1967,АПЛ(реализация)
1967,Симула 67(реализация)
